Tweet,Time,Result
 Unbelievable. @tacobell https://t.co/pHIZWIUnRD,2020-02-13 04:09:52,positive
" @tacobell please bring back the chalupa box, it was the best thing y’all had. Fry box ain’t it.",2020-02-13 04:09:44,positive
" I went to #TacoBell 🌮🛎 again. Had to ""Run for the Border"". #LOVE💘 their #Burritos🌯 #Tacos🌮  #Nachos &amp; their #Cheese… https://t.co/CG2RKqaXjI",2020-02-13 04:08:58,positive
 @tyvid5 @tacobell @StubHub @Rebecca_Mich If only I was closer I would come! Break a leg!,2020-02-13 04:07:16,negative
" Umm @tacobell you wanna chime in about this, tell us what is going on? #WednesdayThoughts #tacobell https://t.co/dYYHDyRqMr",2020-02-13 04:07:00,positive
 @tacobell Do you ever intend to open a location in Miami Beach???,2020-02-13 04:06:38,positive
" @tacobell My sister went through your drive thru in Cortez, CO and it looks like the whole team needs to be trained… https://t.co/KqPwD29oNE",2020-02-13 04:06:06,negative
 RT @xlilhuddy: . @tacobell hey boo,2020-02-13 04:05:42,positive
" RT @GrizzliesOnFSSE: Just stop it, @JaMorant. 

@tacobell // #GrindCity https://t.co/yVwhvPI8y1",2020-02-13 04:05:15,positive
 @RunDaltonRun @tacobell thought I’d share. This @tacobell location is literally an inside joke between my girlfrien… https://t.co/U8OGoq8yHd,2020-02-13 04:04:46,negative
" If you’re having a bad day, continue reading: 
I went to go pick up a Calizone Cory ordered over the phone and acci… https://t.co/eo8ZuXM15U",2020-02-13 04:03:35,negative
" RT @HawksOnFSSE: Can we keep this @jcollins20_ dunk on repeat? Please and thank you.

@tacobell // #TrueToAtlanta https://t.co/euGt39vYHQ",2020-02-13 04:03:19,positive
 hi im simpin for the @tacobell buffalo chicken burrito -thx don’t text,2020-02-13 04:02:55,positive
" RT @FSIndiana: Myles hits the 3 and is into double digits in the first half! #Pacers
@tacobell https://t.co/4YHfXBLw5R",2020-02-13 04:02:51,positive
" I'll never be able to thank @tacobell enough for the Breakfast Crunchwrap...

https://t.co/E0ytGW7GPh",2020-02-13 04:02:25,positive
" @Poofesure @tacobell finally a man of culture, that was the best sauce",2020-02-13 04:01:58,positive
 @Richa_Anand_ crushing it @csufprssa Past Presidents Panel! #tacobell https://t.co/xwtcplWSVR,2020-02-13 04:00:10,positive
 Yo @tacobell those new spicy cheese fries are the bomb,2020-02-13 04:00:01,positive
 @xo_tacobell Nutcracker was my ultimate FAVE,2020-02-13 03:59:40,positive
 RT @xlilhuddy: . @tacobell hey boo,2020-02-13 03:59:04,positive
 @melissaabufkaa @MaddieMcNee05 @lucyrosete2 @tiktok_us @tacobell Yes I went to it once it’s in sandiego,2020-02-13 03:58:44,positive
 @iDuLicious @tacobell Yeah I go to that one occasionally but it's more out of the way.,2020-02-13 03:57:16,positive
 Is it just me or is  @tacobell the best fast food ever??? 😊😉,2020-02-13 03:55:06,positive
 @DireVegod @tacobell its the young goat @thiccdaddyRebs,2020-02-13 03:55:04,positive
 @tendowastaken @tacobell Nice profile picture 💀,2020-02-13 03:54:11,positive
 RT @davidcleland65: bro i want a fat juicy thick nacho fries box from @tacobell with a baja blast to drink and a dozen @krispykreme  glazed…,2020-02-13 03:54:00,positive
 @TacoBell_Lord Only in New York ✊🏻😂,2020-02-13 03:53:55,positive
 @rarediseasemom @tacobell Apple Maps thinks my local 7-Eleven is “Home.”,2020-02-13 03:53:21,positive
 RT @BrookeRadio: Everyone is out here expecting lavish gifts and expensive meals for Valentine's day... all I want is @tacobell and roses i…,2020-02-13 03:53:17,positive
 @BrookeRadio @tacobell Real ones know,2020-02-13 03:53:14,positive
 @DireVegod @tacobell Imagine going to taco bell and not getting beef gg,2020-02-13 03:53:12,positive
 RT @xlilhuddy: . @tacobell hey boo,2020-02-13 03:52:44,positive
 I’m fucking disappointed in this @tacobell I got . Everything was hard 😒😪,2020-02-13 03:52:35,negative
 @davidcleland65 @tacobell @krispykreme i got u. just gimme 2 weeks,2020-02-13 03:52:24,positive
 @heydytrigga that hour when everyone packed together on Subway/Bus &amp; all that body odor mix together is something special 🤔,2020-02-13 03:50:42,positive
" RT @GrizzliesOnFSSE: Just stop it, @JaMorant. 

@tacobell // #GrindCity https://t.co/yVwhvPI8y1",2020-02-13 03:50:13,positive
 RT @xlilhuddy: . @tacobell hey boo,2020-02-13 03:49:34,positive
 Why does anyone eat @tacobell when @tacojohns is a thing?!,2020-02-13 03:48:59,positive
 @RunDaltonRun @tacobell bro that one is known to consistently take 6 years. I go to the one on Eastmoor that double… https://t.co/dXaIThFFNK,2020-02-13 03:48:35,positive
 RT @xlilhuddy: . @tacobell hey boo,2020-02-13 03:48:21,positive
 RT @xlilhuddy: . @tacobell hey boo,2020-02-13 03:47:30,positive
 bro i want a fat juicy thick nacho fries box from @tacobell with a baja blast to drink and a dozen @krispykreme  gl… https://t.co/4i7kwspq6U,2020-02-13 03:46:22,positive
 People brag on their Starbucks drive thru person and that’s not really my thing but I spent like 6 minutes chit cha… https://t.co/EgKVngYzrr,2020-02-13 03:46:21,positive
 @xlilhuddy @tacobell do u like the softish tacos?,2020-02-13 03:46:19,positive
 @StevenM1019 @tacobell I need that.,2020-02-13 03:46:09,negative
" RT @FOXSportsFL: .@nunnbetter_ tracks back to reject 7-footer Rudy Gobert! ⬆️⬆️🖐🖐

@MiamiHEAT 🏀 is LIVE on FOX Sports Sun 📺 l FOX Sports Go…",2020-02-13 03:46:09,positive
 @BrookeRadio @tacobell Omg Claire and I had Taco Bell for Valentine’s Day last year too! 😆,2020-02-13 03:45:55,negative
 .@tacobell beanball 🍒 🍅 🍏,2020-02-13 03:45:22,positive
" me: i've had @tacobell for dinner all week so tonight i'll eat in
also me, ~1 hour after eating in: i could go for some @tacobell right now",2020-02-13 03:45:07,negative
 i would fuck a potato for tacobell,2020-02-13 03:44:46,negative
" @Holly_Dixon_ in n out
legends
some mom and pop burger stand
tommys burger with the red shack in the logo
tacobell… https://t.co/lBAKDxoohh",2020-02-13 03:42:17,negative
" @Ponder_Podcast @YourNeighborTj @tacobell Okay, so you remember Dunkaroos? Like that, but with a certain Taco Bell… https://t.co/yh5DH0YjTa",2020-02-13 03:41:58,positive
 @tacobell I got married this past weekend and ate burritos from @tacobell in the whirlpool. My life was never so complete❤️🌯,2020-02-13 03:41:44,negative
 @chromacatcherr @tacobell Most the other locations are totally fine! It's just that the one location nearest me see… https://t.co/v8TK5wmfWs,2020-02-13 03:41:00,positive
 Tweeting from the @tacobell drive thru. Bring back the grilled stuffed nacho.,2020-02-13 03:40:56,positive
 The nacho party pack alone 😛!!!!!! @tacobell https://t.co/N4ZMS7KW4Q,2020-02-13 03:40:13,negative
" @tacobell thank you for satisfying my boyfriend and I’s hunger, you are a 100/10. I love you. please sponsor me okay thank you 😚",2020-02-13 03:40:02,positive
 @RunDaltonRun @tacobell Bruh. One time the Taco Bell by us had a 30 minute wait. At 2am. They wrote it on receipts… https://t.co/8oLFVrYVAq,2020-02-13 03:39:41,negative
" @tacobell Me, my wife, @pepsi",2020-02-13 03:39:26,positive
 RT @FuckcuckC: @nuggetzsz @hitecbaby Wow paying for someone to bring u tacobell we live in society,2020-02-13 03:37:58,positive
" RT @FOXSportsFL: .@nunnbetter_ tracks back to reject 7-footer Rudy Gobert! ⬆️⬆️🖐🖐

@MiamiHEAT 🏀 is LIVE on FOX Sports Sun 📺 l FOX Sports Go…",2020-02-13 03:37:21,positive
 @PaulGerke @tacobell The chillito &gt;&gt;&gt;,2020-02-13 03:37:12,positive
 RT @xlilhuddy: . @tacobell hey boo,2020-02-13 03:36:53,positive
" RT @FOXSportsFL: .@nunnbetter_ tracks back to reject 7-footer Rudy Gobert! ⬆️⬆️🖐🖐

@MiamiHEAT 🏀 is LIVE on FOX Sports Sun 📺 l FOX Sports Go…",2020-02-13 03:36:38,positive
 RT @VerminSupreme: .@tacobell do you support my policy as libertarian candidate for president to declare every Tuesday taco SUPREME Tuesday?,2020-02-13 03:36:13,negative
 @samrpearce @tacobell I’m fucking crying,2020-02-13 03:35:45,negative
 RT @jlguilbault: You know it’s been a day when I order $26 at @tacobell for dinner,2020-02-13 03:35:15,positive
 @tacobell stop it with this cheap nasty 5 layer bs! https://t.co/8FaexOS1h2,2020-02-13 03:34:51,negative
 @TISSCOOL @tacobell Please know that we are looking into this matter right away. Thank you for alerting us of this. -KB,2020-02-13 03:34:27,positive
 RT @BrookeRadio: Everyone is out here expecting lavish gifts and expensive meals for Valentine's day... all I want is @tacobell and roses i…,2020-02-13 03:34:25,positive
 RT @xlilhuddy: . @tacobell hey boo,2020-02-13 03:33:31,positive
" @tacobell didn’t put tomatoes on my supreme tacos aka my favorite part of the taco, I’m sad.",2020-02-13 03:33:14,negative
" RT @Suns: Welcome to the team, @Jonahbolden43 https://t.co/NqFowQSATL",2020-02-13 03:33:02,positive
" How many retweets, @tacobell? https://t.co/s8Lgy5lrHa",2020-02-13 03:32:56,positive
 This @tacobell location in South SF is consistently slow and awful. Been waiting here for 15 minutes after my order… https://t.co/eTdM1H1O28,2020-02-13 03:32:20,negative
 RT @BrookeRadio: Everyone is out here expecting lavish gifts and expensive meals for Valentine's day... all I want is @tacobell and roses i…,2020-02-13 03:32:07,positive
" Nobody:
Gabe @ tacobell: ok but what ELSE do you want ?",2020-02-13 03:31:01,positive
" RT @DAPFpodcast: Video 4 Dark Angels &amp; Pretty Freaks #Podcast #302 “Taco Bell Crazy!”

 #married couple in #Napa, Ca chatting about life.
#…",2020-02-13 03:30:01,positive
 RT @BrookeRadio: Everyone is out here expecting lavish gifts and expensive meals for Valentine's day... all I want is @tacobell and roses i…,2020-02-13 03:30:01,positive
 for a place that doesn’t sell fries @tacobell has the best fast food fries along w checkers we can fight ab it,2020-02-13 03:29:00,positive
" RT @FOXSportsFL: .@nunnbetter_ tracks back to reject 7-footer Rudy Gobert! ⬆️⬆️🖐🖐

@MiamiHEAT 🏀 is LIVE on FOX Sports Sun 📺 l FOX Sports Go…",2020-02-13 03:27:21,positive
 @tacobell do you guys need a chihuahua for commercials again?,2020-02-13 03:26:39,negative
" Probably a little late to this, but I finally tried the Buffalo Chicken Nacho Fries from @tacobell  and let me just… https://t.co/dnB03RDZNb",2020-02-13 03:25:38,positive
 @magiclae @tacobell Never lol,2020-02-13 03:25:04,positive
 Of course I’ll spend my Valentine’s Day with you @tacobell . Thx for asking! https://t.co/fNQIszQKPz,2020-02-13 03:24:38,positive
 RT @MattMillerHeard: @tacobell plz don’t ghost me :( :( :(,2020-02-13 03:24:19,positive
 @DireVegod @tacobell You must be constipated or sum,2020-02-13 03:24:07,negative
 You know it’s been a day when I order $26 at @tacobell for dinner,2020-02-13 03:23:25,positive
" Back at it again, what y'all want? @tacobell https://t.co/DD3MSFro07",2020-02-13 03:22:41,negative
 ... why does it take ppl 10 mins to order thru a drive thru at #tacobell .... i mean c'mon man!!!!! ... took me 15 seconds!!!!!,2020-02-13 03:22:18,negative
 @RaniaKhalek @justinsanesolo Yeah you just need a political parry.. If you create one you can make up your own rule… https://t.co/CWm9PSh9at,2020-02-13 03:20:19,positive
 @tacobell @tacobell  I see you... taking away the beefy mini quesadilla (same thing if you fold it over) just a lit… https://t.co/cDaqY2uIlt,2020-02-13 03:18:32,positive
" RT @DAPFpodcast: Video 4 Dark Angels &amp; Pretty Freaks #Podcast #302 “Taco Bell Crazy!”

 #married couple in #Napa, Ca chatting about life.
#…",2020-02-13 03:18:30,positive
" Video 4 Dark Angels &amp; Pretty Freaks #Podcast #302 “Taco Bell Crazy!”

 #married couple in #Napa, Ca chatting about… https://t.co/35CWUA3KUw",2020-02-13 03:18:00,positive
 @tacobell grilled stuffed burrito,2020-02-13 03:16:33,negative
 @tacobell That was probably the best fast food commercial ive ever seen. #NachoFries,2020-02-13 03:16:12,positive
 @Big_Bayn @DrewVencill @doingthefavor @BFROST28 @anthonyvito8 @WrestlingWithTy @WifeWrestle @Lynch21Tara @MJGIV79… https://t.co/VlZaAOMyr3,2020-02-13 03:16:11,positive
 RT @xlilhuddy: . @tacobell hey boo,2020-02-13 03:15:21,positive
" TEH CABALLRS R SINISTR AN THEIR CONSPIRACY BEGAN IN AMERICA, DURIN TEH ROOSEVELT ADMINISTRASHUN !? #catspiracy #tacobell",2020-02-13 03:14:56,positive
" RT @wsl: Before heading to the Nazaré Tow Surfing Challenge, Big Wave phenom @Kai_Lenny joined The Lineup pod to talk:
🌊 Nazaré vs Jaws
💯 t…",2020-02-13 03:14:11,positive
